종목코드,종목명,기준일,외국인_순매수대금(백만원),기관_순매수대금(백만원),외국인+기관_순매수대금(백만원),수급합(5일),수급급증(3vs10_강도),매수우위비율(10일),frgn_sum_3,orgn_sum_3,frgn_sum_5,orgn_sum_5,frgn_pos_5,orgn_pos_5,frgn_series,orgn_series,수급합(5일)_TS_Z,수급급증(3vs10)_TS_Z,매수우위비율(10일)_TS_Z,수급강화점수,랭킹,시가총액,섹터,당일등락(%),raw_score,멀티팩터점수,순위변동,정배열
000270,기아,2026-06-10,-13404.0,15977.0,2573.0,87528.0,0.5843464154148101,0.7,106892.0,-18365.0,90270.0,-2742.0,3.0,2.0,"45610,29971,9266,-1368,17652,-20184,3562,13377,106919,-13404","-58771,-11048,44167,8603,-4117,17135,-1512,-16382,-17960,15977",0.9300633170462331,2.216371298192141,1.3920678417806405,4.538502457019015,37,623490.0,운송장비·부품,-2.8,2.063595920005644,1.3505571377475354,151,
316140,우리금융지주,2026-06-10,446.0,1672.0,2118.0,-18098.0,2.160780872990761,0.6,-26789.0,6630.0,-30662.0,12564.0,2.0,4.0,"4651,-5048,-5097,10179,16101,-4036,163,-14166,-13069,446","-3444,2023,2259,-6852,-1655,2087,3847,-15367,20325,1672",-1.4419236949041712,1.4889035725603272,1.6147333939838948,1.661713271640051,38,218755.0,금융,-0.67,0.7655187210308062,1.3105697464465371,-60,
161390,한국타이어앤테크놀로지,2026-06-10,-2436.0,1396.0,-1040.0,22811.0,1.104890507250984,0.7,12164.0,6566.0,13011.0,9800.0,3.0,5.0,"2616,1445,11708,9542,1467,5480,-4633,3146,11454,-2436","-1745,-1624,-6256,-2138,3468,600,2634,2188,2982,1396",1.0995871792399772,0.460223138942642,0.639634522173108,2.199444840355727,39,87456.0,화학,-3.29,1.0081562740591625,1.2866397036689328,-29,
000815,삼성화재우,2026-06-10,2129.0,-405.0,1724.0,28831.0,-0.5268415937814728,0.8,7252.0,-1166.0,35069.0,-6238.0,5.0,0.0,"-278,-4270,-2780,951,2198,19987,7830,2987,2136,2129","451,-188,-72,436,-384,-3824,-1248,-352,-409,-405",1.5937963563100612,-0.9519093531607781,0.7888104821910886,1.4306974853403718,40,12073.0,보험,-1.47,0.661278783560604,1.2793011135432308,-73,
175330,JB금융지주,2026-06-10,-592.0,1573.0,981.0,2700.0,0.23663905994298196,0.6,-5670.0,7212.0,-8900.0,11600.0,0.0,5.0,"-578,1657,-835,1470,3981,-2252,-978,-3679,-1399,-592","-1009,-519,834,-400,-3941,4352,36,2703,2936,1573",1.0988524187938105,0.7059281491399382,1.183215781619948,2.9879963495536965,41,48005.0,금융,-1.54,1.363969880252291,1.2699819978913727,24,
016360,삼성증권,2026-06-10,2274.0,-7171.0,-4897.0,-20196.0,0.018490573629284413,0.5,3270.0,-17782.0,-25046.0,4850.0,2.0,2.0,"4499,15266,-3154,-1446,-4306,-12114,-16202,-7121,8117,2274","-1578,-11917,-3847,2601,-3329,14921,7711,-10424,-187,-7171",0.570394732672053,0.7863288851020751,1.4819170649169604,2.8386406826910884,42,100195.0,증권,-4.51,1.296576973369372,1.2684552089525987,7,
010950,S-Oil,2026-06-10,-2812.0,6302.0,3490.0,42952.0,-0.3268358219516967,1.0,-1814.0,18950.0,7361.0,35591.0,2.0,4.0,"10078,6358,2976,31470,14162,11168,-1993,7832,-6834,-2812","-8966,-5691,-553,-25550,1453,12736,3905,-1763,14411,6302",0.8867223430971832,-0.34282011579535093,1.1346171613106368,1.6785193886124692,43,124742.0,화학,-0.09,0.7731020494707477,1.2646246508164176,-56,
001500,현대차증권,2026-06-10,-152.0,-86.0,-238.0,797.0,-0.17118093176676108,0.7,633.0,-309.0,641.0,156.0,3.0,2.0,"36,240,925,670,606,229,-221,95,690,-152","-233,-172,-102,-183,-65,30,435,-154,-69,-86",0.35259506467991975,0.1028579674314821,1.5157293857978469,1.9711824179092488,44,5454.0,증권,-2.65,0.9051587212782822,1.263294822056951,-43,
498410,KODEX 금융고배당TOP10타겟위클리커버드콜,2026-06-10,3066.0,-6697.0,-3631.0,-6976.0,0.04436805499872998,0.4,3382.0,-22978.0,3336.0,-10312.0,4.0,2.0,"220,-52,27,8,527,1,-47,294,22,3066","-18923,-10923,-614,1560,614,4045,8621,-13514,-2767,-6697",0.7209757098611774,-0.29379462922512667,1.4016510382192873,1.828832118855338,45,7402.0,ETF(실물복제/수익증권),-1.36,0.8409268066116573,1.2606641035586714,-50,
002020,코오롱,2026-06-10,-446.0,417.0,-29.0,1753.0,-0.6349084060995347,0.4,7192.0,-7201.0,8351.0,-6598.0,3.0,2.0,"-218,-143,-342,814,269,-511,1670,5107,2531,-446","349,-263,-881,-1245,-1196,615,-12,-4685,-2933,417",2.0625921411380825,-0.8872552325299703,0.7175948649242154,1.8929317735323277,46,6209.0,금융,1.05,0.8698501287032621,1.2594032932158397,-49,
