ticker,market_cap,pe,pb,roe,rev_growth,earn_growth,debt_equity
EXR,32070821888,31.668844,2.2849238,0.07008,0.046,0.158,98.679
FFIV,17660864512,25.712986,4.9980702,0.20844,0.073,0.099,7.566
FDS,8634110976,14.966559,4.0051284,0.28084,0.071,-0.045,72.972
FICO,25466185728,39.68651,-14.108557,,0.164,0.077,
FRT,9780817920,24.044872,3.1426816,0.12235,0.075,0.987,143.64
FAST,52570480640,40.513275,13.174101,0.33842,0.124,0.138,11.167
FSLR,20462923776,13.40183,2.142592,0.1745,0.111,0.323,6.871
FDX,93624516608,20.96047,3.146516,0.15869,0.083,0.173,140.994
FITB,45599129600,16.949495,1.6680473,0.07969,0.33,-0.789,
FE,28977772544,28.465908,2.3141947,0.09195,0.207,,192.755
FIS,25115760640,66.438354,1.7935727,0.026010001,0.082,0.881,95.893
FISV,34209718272,10.089906,1.3244307,,,,
F,51622629376,,1.4279375,-0.20193,-0.048,,460.639
FTV,19221856256,38.062893,2.9390056,0.06396,0.046,-0.026,51.177
FTNT,60860162048,33.81818,49.123646,1.3571601,0.148,-0.011,85.802
FOXA,27680522240,15.604316,2.5322022,0.16823,0.02,-0.358,67.389
FOX,27324958720,14.035971,2.2776978,0.16823,0.02,-0.358,67.389
GRMN,51473227776,31.167833,5.7408442,0.19783,0.166,0.212,2.184
GEHC,34066624512,16.40879,3.2783,0.22378,0.071,-0.177,98.717
IT,10893024256,16.022799,34.245846,0.86861,0.022,-0.342,1046.535
BEN,14218323968,25.25,1.1685307,0.04464,0.034,0.606,24.587
GE,320800555008,37.73325,17.07732,0.44692,0.176,0.374,114.07
FCX,100905926656,46.19079,5.334701,0.13946,-0.015,0.477,34.103
GEN,12408328192,20.742268,5.22869,0.26902,0.258,0.201,363.379
GNRC,12446891008,78.84759,4.727727,0.06283,-0.116,,52.479
GEV,270270676992,56.813034,24.178965,0.42641,0.038,6.717,9.727
GD,91082752000,21.780441,3.5435503,0.17658001,0.078,0.004,38.205
GM,75860279296,24.868502,1.2027806,0.04318,-0.051,,208.299
GILD,170839277568,20.270987,7.52419,0.40655,0.047,0.234,112.923
GIS,18945683456,8.679707,3.4286265,0.23591,0.022,-0.145,217.629
GL,11941834752,10.785511,2.0103521,0.20589,0.036,0.095,51.258
GPN,20256458752,16.336344,0.74837387,0.04824,-0.0,-0.592,93.316
GPC,15830705152,242.10638,3.5404482,0.015,0.041,,156.063
GDDY,11584337920,13.781351,53.709274,1.92901,0.068,0.317,1795.723
GS,274778374144,16.9216,2.597532,0.14591,0.145,0.243,608.943
HIG,38576713728,10.4906225,2.0769653,0.21656,0.067,0.382,23.937
HAS,13667621888,,25.325861,-0.36355,0.313,,600.584
HAL,31114921984,24.766668,2.9653578,0.12274,0.008,-0.005,79.162
HCA,109127639040,17.213404,-18.185884,,0.067,0.445,
HSIC,9045588992,24.107035,2.8124444,0.08701,0.077,0.136,71.736
HSY,39044362240,44.4873,8.426878,0.1889,0.07,-0.598,123.763
HPE,35133698048,,1.4183028,-0.00471,0.184,-0.303,87.223
DOC,12076608512,173.70001,1.6096748,0.01164,0.031,24.484,122.183
HLT,78195318784,55.90656,-14.585151,,0.07,-0.385,
HD,348012052480,24.571026,27.161068,1.45541,-0.038,-0.142,514.392
HON,147989692416,33.652737,10.6712055,0.26136,-0.033,-0.764,236.613
HST,14711695360,19.2,2.2149975,0.11489,0.128,0.271,83.779
HUBB,28471758848,32.360725,7.4121184,0.24542,0.119,0.138,64.473
HRL,11660522496,23.80899,1.468672,0.061160002,-0.029,-0.051,4.244
HWM,102516367360,68.919136,19.182983,0.30443,0.146,0.203,60.022
HUM,24739057664,20.826395,1.4010382,0.07039,0.113,,74.815
HBAN,34325467136,12.122303,1.2223432,0.10095,0.103,-0.109,
HPQ,18249531392,7.5303025,-23.808382,,0.069,-0.017,
HII,15546501120,25.637014,3.0540085,0.124239996,0.157,0.281,58.762
IBM,237858553856,22.773584,7.2742143,0.35158002,0.122,0.899,197.328
IEX,15309704192,32.175,3.8141809,0.1234,0.042,0.055,48.251
IDXX,46918459392,45.049694,29.257696,0.66202,0.143,0.179,60.827
INCY,19467595776,15.26053,3.7568169,0.2987,0.278,0.436,1.063
ITW,78465335296,25.97901,24.363312,0.93718004,0.041,0.073,285.524
IR,33900474368,59.172413,3.325968,0.057729997,0.101,0.184,50.699
PODD,14341745664,58.543102,9.464369,0.18124,0.312,0.039,66.176
IBKR,138922557440,36.806305,6.786545,0.23507999,0.152,0.303,124.331
IFF,19385630720,,1.3708133,-0.02559,-0.066,,46.884
IP,19659823104,,1.3223406,-0.24678,0.531,,71.073
INTC,343939219456,,2.9933577,0.00022,-0.041,,37.282
ICE,91567636480,27.944542,3.1618168,0.11885,0.078,0.234,70.077
ISRG,166649167872,59.544415,9.34793,0.16690001,0.188,0.166,0.953
INTU,109431283712,25.56892,5.726747,0.23457001,0.174,0.485,36.148
IVZ,11023418368,,1.1332389,-0.01219,0.062,,17.161
IQV,29945264128,22.5364,4.6021442,0.21438,0.103,0.236,245.928
IRM,35123322880,236.14,-35.595417,,0.166,-0.142,
JBL,33968941056,43.296097,25.327927,0.59696996,0.231,0.962,328.91
INVH,16471706624,28.156252,1.7323593,0.060939997,0.043,0.024,88.124
JBHT,23185567744,37.996902,6.429677,0.16676001,0.046,0.271,36.247
J,15225124864,34.018467,4.402144,0.09726,0.123,,65.173
JKHY,11150420992,22.135057,5.04668,0.24284,0.079,0.284,3.109
JNJ,564350156800,21.231188,6.9151034,,0.099,-0.529,60.499
JPM,836862214144,14.860633,2.4169652,0.16465001,0.127,0.172,
JCI,86221758464,47.113712,6.529316,0.12640001,0.068,0.342,73.339
KVUE,33809727488,23.171053,3.1345675,0.14388,0.032,0.112,80.576
KDP,36045414400,17.33987,1.412673,0.08356,0.105,,75.384
KEY,23702988800,13.374232,1.3440198,0.09972,0.117,0.337,
KEYS,57345249280,58.86268,9.240762,0.17222999,0.233,0.68,44.674
