단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
003280,KR7003280005,흥아해운,ST,3.0,19,0,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1770,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,1662538,500,19760629,240424,120212449500,12.0,,0,,N,N,Y,458,47,32,31,5.46,20250331.0,4255,LA2,N,N,Y
003300,KR7003300001,한일홀딩스,ST,3.0,27,10,0,,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,Y,N,N,N,N,N,N,19310,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,8530,1000,19691120,30832,33359554000,12.0,,0,,N,N,Y,4105,127,136,103,0.48,20250331.0,5953,,N,N,N
003350,KR7003350006,한국화장품제조,ST,3.0,27,8,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,69900,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,131551,500,19780206,4532,2266000000,12.0,,0,,N,N,Y,1675,265,278,231,36.48,20241231.0,3167,,N,N,N
003460,KR7003460003,유화증권,ST,3.0,21,24,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2795,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,30912,1000,19870824,56702,56702415000,12.0,,0,,N,N,Y,377,122,218,178,3.5,20241231.0,1584,,N,N,N
003465,KR7003461001,유화증권우,ST,0.0,21,24,0,,Y,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2715,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,50,1000,19900220,17476,17476425000,12.0,,1,,N,N,N,0,0,0,0,0.0,,474,,N,N,N
003470,KR7003470002,유안타증권,ST,2.0,21,24,0,,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,N,Y,N,N,N,N,3650,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,311359,5000,19880121,199596,997982880000,12.0,,0,,N,N,Y,7637,129,117,91,2.27,20250331.0,7285,,N,N,N
003475,KR7003471000,유안타증권우,ST,0.0,21,24,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,3630,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,28431,5000,19890322,12912,64561060000,12.0,,1,,N,N,N,0,0,0,0,0.0,,468,,N,N,N
003480,KR7003480001,한진중공업홀딩스,ST,3.0,17,0,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,5130,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,374762,5000,19560303,29529,155149060000,12.0,,0,,N,N,Y,4932,384,328,280,26.38,20250331.0,1514,,N,N,N
003490,KR7003490000,대한항공,ST,1.0,19,0,0,,N,N,9,Y,N,Y,,N,Y,N,N,N,N,N,N,N,0,N,N,N,N,N,N,Y,N,23950,1,1,N,N,N,0,N,N,N,0,0,0,20,Y,90,646023,5000,19660318,368220,1841103305000,12.0,,0,,N,Y,Y,64919,4310,4522,3499,10.87,20250331.0,88188,926,N,N,Y
003495,KR7003491008,대한항공우,ST,0.0,19,0,0,,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,24350,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2005,5000,19900331,1110,5553970000,12.0,,1,,N,N,N,0,0,0,0,0.0,,270,,N,N,N
