종목코드,종목명,시가총액,PER,EPS,PBR,섹터,당일등락(%),ROE(%),부채비율(%),매출증가율(%),영업이익증가율(%),기준일자
425420,티에프이,5322,27.38,1574.0,4.58,전기·전자,-0.69,18.45,34.1,46.82,12.01,2026-06-25
356680,엑스게이트,5306,132.79,140.0,11.94,IT 서비스,-16.82,9.43,51.08,0.92,-15.05,2026-06-25
064290,인텍플러스,5287,-159.92,-257.0,10.92,기계·장비,0.37,0.57,152.34,-11.12,0.0,2026-06-25
060250,NHN KCP,5189,11.45,1128.0,1.65,금융,-0.84,18.39,114.54,22.7,26.37,2026-06-25
009520,포스코엠텍,5155,884.29,14.0,4.61,금속,-2.98,0.5,33.94,1.53,-68.3,2026-06-25
112040,위메이드,5150,-27.68,-548.0,1.26,IT 서비스,-0.98,6.4,121.4,8.1,0.0,2026-06-25
033500,동성화인텍,5125,9.17,1863.0,1.98,화학,-5.06,26.79,85.15,-1.88,58.42,2026-06-25
124500,아이티센글로벌,5059,10.85,2010.0,4.03,IT 서비스,-12.1,51.1,184.76,100.92,193.07,2026-06-25
077360,덕산하이메탈,5053,-4.77,-2333.0,2.45,전기·전자,-4.14,-37.89,95.62,55.6,0.0,2026-06-25
082270,젬백스,5051,-41.79,-273.0,8.45,기계·장비,-6.01,-6.43,118.3,47.56,0.0,2026-06-25
104830,원익머트리얼즈,4980,10.23,3863.0,0.95,화학,-0.63,9.97,24.58,13.06,6.35,2026-06-25
230360,에코마케팅,4960,30.13,531.0,2.14,일반서비스,0.0,8.28,61.29,22.64,143.89,2026-06-25
253590,네오셈,4913,91.8,122.0,3.99,기계·장비,-2.52,4.9,28.13,-2.41,-60.74,2026-06-25
389470,인벤티지랩,4911,-48.3,-764.0,7.15,일반서비스,-8.44,4.2,86.7,132.27,0.0,2026-06-25
336570,원텍,4909,13.94,393.0,3.11,의료·정밀기기,-7.28,22.67,39.08,7.57,-23.03,2026-06-25
045100,한양이엔지,4909,12.09,2320.0,0.73,일반서비스,0.9,9.15,43.31,26.9,88.64,2026-06-25
272290,이녹스첨단소재,4895,8.55,2871.0,1.17,전기·전자,-5.58,11.98,97.04,-15.91,-35.96,2026-06-25
089890,코세스,4843,36.68,796.0,6.3,기계·장비,0.34,16.19,28.92,-32.9,-63.07,2026-06-25
015750,성우하이텍,4824,2.86,2110.0,0.28,운송장비·부품,-3.05,9.73,140.81,1.97,-6.45,2026-06-25
399720,가온칩스,4801,-32.73,-1239.0,8.6,전기·전자,-4.59,-17.49,201.2,35.32,0.0,2026-06-25
278280,천보,4742,-6.78,-5710.0,1.06,화학,-5.49,-16.84,75.26,14.67,0.0,2026-06-25
348210,넥스틴,4720,-191.7,-235.0,3.06,기계·장비,-0.44,-4.94,68.54,-53.59,0.0,2026-06-25
475960,토모큐브,4698,-96.16,-365.0,12.05,의료·정밀기기,-3.97,-8.73,7.73,320.57,0.0,2026-06-25
376300,디어유,4688,25.16,785.0,2.23,IT 서비스,-4.13,12.3,18.96,33.4,76.91,2026-06-25
368770,파이버프로,4669,50.21,283.0,10.16,의료·정밀기기,-6.51,29.71,51.31,100.63,282.77,2026-06-25
327260,RF머트리얼즈,4638,67.24,812.0,9.0,전기·전자,-4.55,18.74,41.31,69.6,281.87,2026-06-25
101160,월덱스,4623,11.28,2482.0,1.33,전기·전자,4.48,13.69,25.34,-6.76,-3.27,2026-06-25
486990,노타,4579,-21.93,-978.0,16.65,IT 서비스,-3.6,0.0,49.9,5257.3,0.0,2026-06-25
372320,큐로셀,4575,-9.3,-3232.0,86.35,일반서비스,-5.21,-203.85,310.74,0.0,0.0,2026-06-25
035890,서희건설,4543,3.73,530.0,0.34,건설,2.33,12.0,51.35,-33.21,-79.45,2026-06-25
034950,한국기업평가,4522,17.93,5556.0,3.36,일반서비스,0.1,24.78,69.06,2.84,-1.41,2026-06-25
348340,뉴로메카,4492,-18.51,-1956.0,29.89,기계·장비,-6.58,-127.08,101.14,-5.7,0.0,2026-06-25
170920,엘티씨,4442,87.6,480.0,3.36,화학,-8.09,8.3,68.49,30.27,92.04,2026-06-25
241770,메카로,4434,35.14,1238.0,2.11,전기·전자,-0.46,6.7,11.77,18.66,24.08,2026-06-25
211050,인카금융서비스,4424,6.37,1410.0,2.05,금융,-2.6,41.49,371.91,30.91,22.99,2026-06-25
330860,네패스아크,4405,-15.36,-2354.0,2.66,일반서비스,-13.62,-14.67,88.8,-2.99,0.0,2026-06-25
078130,국일제지,4357,-241.56,-16.0,3.64,종이·목재,7.51,-2.05,11.29,-10.47,0.0,2026-06-25
214430,아이쓰리시스템,4340,28.21,2106.0,3.86,전기·전자,-2.3,15.31,38.93,-0.69,20.94,2026-06-25
099190,아이센스,4319,-80.75,-186.0,1.32,의료·정밀기기,-1.7,-1.77,65.8,-1.49,-71.03,2026-06-25
460930,현대힘스,4297,20.03,604.0,1.7,운송장비·부품,-4.12,9.15,30.38,10.71,17.82,2026-06-25
025320,시노펙스,4226,57.31,80.0,2.46,전기·전자,-4.08,2.64,50.55,-14.9,-80.46,2026-06-25
089010,켐트로닉스,4201,41.0,611.0,1.79,화학,-0.79,2.34,210.79,16.91,3.95,2026-06-25
340570,티앤엘,4194,11.02,4684.0,2.06,제약,-3.01,19.98,16.46,-12.18,-9.68,2026-06-25
168360,펨트론,4186,-107.36,-178.0,15.72,기계·장비,0.37,-10.75,290.75,52.7,0.0,2026-06-25
039440,에스티아이,4133,27.36,974.0,1.42,기계·장비,1.72,6.34,23.39,-12.17,-93.04,2026-06-25
042000,카페24,4122,10.58,1611.0,1.55,IT 서비스,-2.12,16.68,56.06,5.97,4.65,2026-06-25
251970,펌텍코리아,4117,11.95,2778.0,1.4,화학,-2.5,12.81,31.51,0.02,-3.49,2026-06-25
030520,한글과컴퓨터,4079,11.86,1422.0,1.1,IT 서비스,-6.23,9.42,47.77,4.43,2.13,2026-06-25
041190,우리기술투자,4049,3.66,1316.0,0.48,금융,1.47,14.94,20.91,-18.87,0.38,2026-06-25
025980,아난티,3989,-9.45,-434.0,0.54,일반서비스,-2.38,-7.21,112.66,-18.42,0.0,2026-06-25
079940,가비아,3959,25.28,1167.0,2.17,IT 서비스,0.34,10.15,67.34,10.4,85.71,2026-06-25
018290,브이티,3948,6.6,1713.0,1.61,화학,-0.7,22.41,35.45,13.78,-40.27,2026-06-25
199800,툴젠,3945,-10.33,-4244.0,7.04,일반서비스,-8.84,-68.55,7.74,202.56,0.0,2026-06-25
215200,메가스터디교육,3939,4.81,7903.0,0.79,일반서비스,0.26,18.39,91.1,-0.48,-0.83,2026-06-25
047920,HLB제약,3893,84.18,141.0,3.11,일반서비스,-2.7,0.0,33.56,89.49,-48.02,2026-06-25
200710,에이디테크놀로지,3877,107.46,268.0,2.75,전기·전자,-3.68,4.41,129.53,10.39,0.0,2026-06-25
482630,삼양엔씨켐,3859,0.0,0.0,0.0,화학,-8.13,0.0,0.0,0.0,0.0,2026-06-25
067630,HLB생명과학,3792,-3.8,-819.0,1.27,제약,-2.51,-15.91,64.98,61.02,0.0,2026-06-25
290550,디케이티,3788,16.34,1159.0,1.87,전기·전자,-1.92,16.09,58.46,33.81,259.83,2026-06-25
042520,한스바이오메드,3758,-11.37,-2317.0,10.15,제약,5.19,-35.62,99.98,47.06,538.22,2026-06-25
024850,HLB이노베이션,3737,-10.18,-1156.0,1.62,전기·전자,-7.69,-15.01,16.12,25.12,0.0,2026-06-25
114810,한솔아이원스,3737,13.44,988.0,1.74,기계·장비,-1.19,11.37,17.06,0.64,-40.21,2026-06-25
200470,에이팩트,3707,-7.31,-1197.0,6.71,전기·전자,-4.27,-66.16,194.17,-7.49,0.0,2026-06-25
060280,큐렉소,3705,134.03,67.0,3.83,유통,-3.44,2.22,6.07,-18.34,0.0,2026-06-25
219130,타이거일렉,3681,1325.0,44.0,6.95,전기·전자,-7.17,0.52,45.6,27.29,0.0,2026-06-25
013030,하이록코리아,3636,7.46,4141.0,0.8,금속,-2.06,12.25,10.42,10.42,23.48,2026-06-25
095660,네오위즈,3592,7.26,2287.0,0.62,IT 서비스,-3.26,11.42,18.27,13.91,-32.04,2026-06-25
