종목코드,종목명,기준일,외국인_순매수대금(백만원),기관_순매수대금(백만원),외국인+기관_순매수대금(백만원),수급합(5일),수급급증(3vs10_강도),매수우위비율(10일),수급합(5일)_TS_Z,수급급증(3vs10)_TS_Z,매수우위비율(10일)_TS_Z,수급강화점수,랭킹,시가총액,PER,EPS,PBR,섹터,당일등락(%),ROE(%),부채비율(%),매출증가율(%),영업이익증가율(%),raw_score,멀티팩터점수,기준일자
192440,슈피겐코리아,2026-05-08,46.0,0.0,46.0,-25.0,-0.5980126468476044,0.4,-0.0890618126381799,-0.4315863539023613,0.15990863054327795,-0.36073953599726316,66,1641.0,5.65,4669.0,0.29,기타제조,0.57,5.55,8.25,-0.34,52.71,0.825687548488887,0.7147161010615546,2026-05-08
064760,티씨케이,2026-05-08,2122.0,-694.0,1428.0,-4362.0,-0.2587353773252591,0.8,-1.5779026742638298,-0.491560169634751,-0.2958039454049866,-2.3652667893035675,67,33426.0,48.48,6167.0,6.76,비금속,1.01,14.78,9.16,21.65,21.06,0.6664874867572984,0.7142128173837028,2026-05-08
263920,휴엠앤씨,2026-05-08,0.0,0.0,0.0,6.0,0.041666663411458416,0.5,1.0101627336941954,0.011806855279589759,0.762974746017437,1.7849443349912222,68,376.0,23.94,160.0,0.83,기타제조,1.46,3.51,35.78,10.75,-49.81,0.5926646135361789,0.7115222269147036,2026-05-08
024950,삼천리자전거,2026-05-08,172.0,0.0,172.0,384.0,-0.33205128207697243,0.4,1.177542716953237,-0.48386786002693977,2.514822928783846,3.2084977857101435,69,668.0,11.38,442.0,0.61,유통,4.79,6.14,72.9,8.93,312.3,0.7428518714906545,0.7109538937575646,2026-05-08
225590,패션플랫폼,2026-05-08,,,0.0,0.0,-1.0,0.2,-0.45470132664393265,-0.6252591551358088,-1.0420638786975738,-2.1220243604773152,70,243.0,9.22,103.0,0.31,섬유·의류,0.0,3.6,33.54,1.63,404.89,0.6043573574912532,0.7106876100750641,2026-05-08
036830,솔브레인홀딩스,2026-05-08,5134.0,-1385.0,3749.0,5228.0,0.025307904167617856,0.6,1.7938806110925445,-0.5428270176296557,1.6749037039306378,2.9259572973935266,71,13615.0,2.86,23248.0,0.77,일반서비스,-3.91,32.06,36.52,28.33,0.0,0.8885077169752121,0.7067433347874914,2026-05-08
079960,동양이엔피,2026-05-08,13.0,1.0,14.0,471.0,-0.3532950506144398,0.6,0.5766545544988343,-0.9009274392028845,1.908474757869436,1.584201873165386,72,2873.0,5.81,6293.0,0.63,전기·전자,0.41,11.81,20.49,8.77,3.87,0.6566126912893991,0.7062289240916886,2026-05-08
036890,진성티이씨,2026-05-08,-2547.0,1040.0,-1507.0,2690.0,0.06494478756255928,0.5,0.791406540240524,-0.2544185774203304,1.433342624689962,1.9703305875101558,73,4407.0,13.69,1461.0,1.35,기계·장비,-2.68,11.66,72.81,18.77,96.15,0.5395668978255898,0.7057960045277826,2026-05-08
093920,서원인텍,2026-05-08,-24.0,-6.0,-30.0,-84.0,0.7003366994779441,0.2,-0.439304854604831,0.8576922243321821,1.168406516393483,1.586793886120834,74,973.0,14.77,354.0,0.45,전기·전자,1.75,3.07,15.03,-12.99,-64.31,0.6379362213131163,0.6971780111745837,2026-05-08
096630,에스코넥,2026-05-08,-36.0,0.0,-36.0,-1440.0,5.0,0.0,-2.2335943284775652,1.932183558380814,-0.7337993318591937,-1.0352101019559448,75,605.0,1.69,2254.0,0.67,전기·전자,-1.3,49.77,92.44,-3.66,26.98,0.7312538909775068,0.6911008677272741,2026-05-08
017250,인터엠,2026-05-08,-5.0,-2.0,-7.0,42.0,-0.23694779208399885,0.7,0.9710541289081467,-0.654511872184753,0.8175337643343653,1.134076021057759,76,230.0,11.27,97.0,0.52,전기·전자,1.67,5.13,117.34,2.16,-56.03,0.4980139875995968,0.6897989838849076,2026-05-08
450950,아스테라시스,2026-05-08,80.0,4.0,84.0,133.0,0.035539215495917986,0.6,0.6099806670324655,0.6530203711787164,1.3046678131058076,2.5676688513169896,77,4177.0,44.4,250.0,8.9,의료·정밀기기,3.26,27.74,11.65,31.6,55.94,0.6751038318979768,0.6875648283169555,2026-05-08
037330,인지디스플레,2026-05-08,16.0,-2.0,14.0,43.0,-0.3069306937555142,0.8,-0.35984591051059694,-0.3034622932716677,1.5446407860480047,0.8813325822657401,78,640.0,10.57,138.0,0.35,전기·전자,0.69,3.38,125.93,-1.48,56.49,0.672488680362868,0.6843185767544118,2026-05-08
048910,대원미디어,2026-05-08,-123.0,3.0,-120.0,-407.0,0.6817269073772501,0.2,-0.035511120994276196,1.1640675626608916,1.1660916555018452,2.2946480971684604,79,914.0,16.64,437.0,0.86,유통,0.83,5.51,72.2,33.74,515.68,0.6738151359259092,0.6793667214180907,2026-05-08
032750,삼진,2026-05-08,1.0,0.0,1.0,-66.0,0.9761904747789116,0.6,-1.4379984864792563,0.9876212496792424,1.0420638786975729,0.5916866418975589,80,322.0,8.27,431.0,0.29,전기·전자,1.71,3.59,16.12,-6.81,-19.66,0.7921302011677351,0.6788679817983136,2026-05-08
066360,체리부로,2026-05-08,3.0,-1.0,2.0,30.0,-0.15343915370790295,0.5,-0.09837664318562767,-0.06857728780349828,0.04637388635021053,-0.12058004463891542,81,547.0,2.3,496.0,0.54,음식료·담배,1.79,27.0,135.66,5.89,893.99,0.7703496300744789,0.6756741751724755,2026-05-08
110790,크리스에프앤씨,2026-05-08,-2.0,0.0,-2.0,30.0,-0.5377128957145648,0.3,1.0432625964332094,-1.2341421521508769,0.13462159442920843,-0.05625796128845903,82,914.0,7.12,548.0,0.22,섬유·의류,-0.13,3.55,99.87,-5.84,0.0,0.6732833156862141,0.6746304893805823,2026-05-08
093190,빅솔론,2026-05-08,17.0,-48.0,-31.0,-33.0,-0.4401544402625184,0.6,0.5056079354694244,-0.6879814733292177,1.8685653903254857,1.6861918524656925,83,1574.0,8.59,952.0,0.6,전기·전자,0.86,9.57,20.39,17.6,68.84,0.6852898243255274,0.6737899016496804,2026-05-08
045300,성우테크론,2026-05-08,0.0,0.0,0.0,6.0,-0.2561983477221501,0.5,0.26433857008775685,-1.1582315726275614,0.9096168040282,0.015723801488395472,84,346.0,7.32,449.0,0.45,전기·전자,0.61,6.58,33.23,-1.85,64.89,0.5997253794194135,0.6713741206239153,2026-05-08
046440,KG파이낸셜,2026-05-08,-47.0,6.0,-41.0,-195.0,0.43790849653063857,0.6,-2.562279521787797,0.9492136979859139,-0.3415649905319892,-1.9546308143338726,85,1891.0,8.17,609.0,0.5,IT 서비스,-0.7,6.66,54.68,-12.15,345.91,0.48694038797072386,0.6702712690779044,2026-05-08
